transaction_id,date,product_id,product_name,quantity,unit_price,total_amount,customer_id,customer_name,industry,region,sales_rep,payment_method,status,fiscal_quarter
TXN047,2023-05-24,SKU-1002,Support Package Premium,2,1500,3000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Cancelled,Q2 2023
TXN048,2023-05-27,SKU-1003,Data Analytics Module,5,5000,25000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q2 2023
TXN049,2023-05-30,SKU-1004,Implementation Services,16,500,8000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q2 2023
TXN050,2023-06-02,SKU-1005,Training Enablement,3,800,2400,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q2 2023
TXN051,2023-06-05,SKU-1001,Cloud License Annual,4,2000,8000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN052,2023-06-08,SKU-1002,Support Package Premium,7,1500,10500,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q2 2023
TXN053,2023-06-11,SKU-1003,Data Analytics Module,2,5000,10000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q2 2023
TXN054,2023-06-14,SKU-1004,Implementation Services,13,500,6500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Completed,Q2 2023
TXN055,2023-06-17,SKU-1005,Training Enablement,6,800,4800,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Pending,Q2 2023
TXN056,2023-06-20,SKU-1001,Cloud License Annual,2,2000,4000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q2 2023
TXN057,2023-06-23,SKU-1002,Support Package Premium,5,1500,7500,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN058,2023-06-26,SKU-1003,Data Analytics Module,4,5000,20000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q2 2023
TXN059,2023-06-29,SKU-1004,Implementation Services,8,500,4000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q2 2023
TXN060,2023-07-02,SKU-1005,Training Enablement,4,800,3200,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q3 2023
TXN061,2023-07-05,SKU-1001,Cloud License Annual,6,2000,12000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Completed,Q3 2023
TXN062,2023-07-08,SKU-1002,Support Package Premium,3,1500,4500,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q3 2023
TXN063,2023-07-11,SKU-1003,Data Analytics Module,6,5000,30000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q3 2023
TXN064,2023-07-14,SKU-1004,Implementation Services,20,500,10000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q3 2023
TXN065,2023-07-17,SKU-1005,Training Enablement,7,800,5600,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q3 2023
TXN066,2023-07-20,SKU-1001,Cloud License Annual,10,2000,20000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q3 2023
TXN067,2023-07-23,SKU-1002,Support Package Premium,4,1500,6000,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q3 2023
TXN068,2023-07-26,SKU-1003,Data Analytics Module,3,5000,15000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q3 2023
TXN069,2023-07-29,SKU-1004,Implementation Services,17,500,8500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Cancelled,Q3 2023
TXN070,2023-08-01,SKU-1005,Training Enablement,5,800,4000,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Completed,Q3 2023
TXN071,2023-08-04,SKU-1001,Cloud License Annual,4,2000,8000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q3 2023
TXN072,2023-08-07,SKU-1002,Support Package Premium,8,1500,12000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q3 2023
TXN073,2023-08-10,SKU-1003,Data Analytics Module,5,5000,25000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q3 2023
TXN074,2023-08-13,SKU-1004,Implementation Services,14,500,7000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q3 2023
TXN075,2023-08-16,SKU-1005,Training Enablement,9,800,7200,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q3 2023
TXN076,2023-08-19,SKU-1001,Cloud License Annual,7,2000,14000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Pending,Q3 2023
TXN077,2023-08-22,SKU-1002,Support Package Premium,2,1500,3000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q3 2023
TXN078,2023-08-25,SKU-1003,Data Analytics Module,4,5000,20000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q3 2023
TXN079,2023-08-28,SKU-1004,Implementation Services,11,500,5500,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q3 2023
TXN080,2023-08-31,SKU-1005,Training Enablement,6,800,4800,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q3 2023
TXN081,2023-09-03,SKU-1001,Cloud License Annual,5,2000,10000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q3 2023
TXN082,2023-09-06,SKU-1002,Support Package Premium,6,1500,9000,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q3 2023
TXN083,2023-09-09,SKU-1003,Data Analytics Module,7,5000,35000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q3 2023
TXN084,2023-09-12,SKU-1004,Implementation Services,9,500,4500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Completed,Q3 2023
TXN085,2023-09-15,SKU-1005,Training Enablement,4,800,3200,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Completed,Q3 2023
TXN086,2023-09-18,SKU-1001,Cloud License Annual,8,2000,16000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q3 2023
TXN087,2023-09-21,SKU-1002,Support Package Premium,3,1500,4500,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q3 2023
TXN088,2023-09-24,SKU-1003,Data Analytics Module,2,5000,10000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Cancelled,Q3 2023
TXN089,2023-09-27,SKU-1004,Implementation Services,15,500,7500,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q3 2023
TXN090,2023-09-30,SKU-1005,Training Enablement,8,800,6400,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q3 2023
TXN091,2023-10-03,SKU-1001,Cloud License Annual,6,2000,12000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Completed,Q4 2023
TXN092,2023-10-06,SKU-1002,Support Package Premium,4,1500,6000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q4 2023
TXN093,2023-10-09,SKU-1003,Data Analytics Module,8,5000,40000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q4 2023
TXN094,2023-10-12,SKU-1004,Implementation Services,18,500,9000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q4 2023
TXN095,2023-10-15,SKU-1005,Training Enablement,5,800,4000,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q4 2023
TXN096,2023-10-18,SKU-1001,Cloud License Annual,9,2000,18000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q4 2023
TXN097,2023-10-21,SKU-1002,Support Package Premium,7,1500,10500,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q4 2023
TXN098,2023-10-24,SKU-1003,Data Analytics Module,3,5000,15000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q4 2023
TXN099,2023-10-27,SKU-1004,Implementation Services,12,500,6000,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Pending,Q4 2023
TXN100,2023-10-30,SKU-1005,Training Enablement,6,800,4800,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Completed,Q4 2023
TXN101,2023-11-02,SKU-1001,Cloud License Annual,4,2000,8000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q4 2023
TXN102,2023-11-05,SKU-1002,Support Package Premium,5,1500,7500,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q4 2023
TXN103,2023-11-08,SKU-1003,Data Analytics Module,6,5000,30000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q4 2023
TXN104,2023-11-11,SKU-1004,Implementation Services,16,500,8000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q4 2023
TXN105,2023-11-14,SKU-1005,Training Enablement,7,800,5600,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q4 2023
TXN106,2023-11-17,SKU-1001,Cloud License Annual,10,2000,20000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Completed,Q4 2023
TXN107,2023-11-20,SKU-1002,Support Package Premium,3,1500,4500,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Cancelled,Q4 2023
TXN108,2023-11-23,SKU-1003,Data Analytics Module,4,5000,20000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q4 2023
TXN109,2023-11-26,SKU-1004,Implementation Services,20,500,10000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q4 2023
TXN110,2023-11-29,SKU-1005,Training Enablement,4,800,3200,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q4 2023
TXN111,2023-12-02,SKU-1001,Cloud License Annual,7,2000,14000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q4 2023
TXN112,2023-12-05,SKU-1002,Support Package Premium,6,1500,9000,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q4 2023
TXN113,2023-12-08,SKU-1003,Data Analytics Module,9,5000,45000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q4 2023
TXN114,2023-12-11,SKU-1004,Implementation Services,13,500,6500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Completed,Q4 2023
TXN115,2023-12-14,SKU-1005,Training Enablement,8,800,6400,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Pending,Q4 2023
TXN116,2023-12-17,SKU-1001,Cloud License Annual,5,2000,10000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q4 2023
TXN117,2023-12-20,SKU-1002,Support Package Premium,4,1500,6000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q4 2023
TXN118,2023-12-23,SKU-1003,Data Analytics Module,5,5000,25000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q4 2023
TXN119,2023-12-26,SKU-1004,Implementation Services,10,500,5000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q4 2023
TXN120,2023-12-29,SKU-1005,Training Enablement,9,800,7200,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q4 2023
TXN121,2024-01-02,SKU-1001,Cloud License Annual,4,2000,8000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Completed,Q1 2024
TXN122,2024-01-05,SKU-1002,Support Package Premium,5,1500,7500,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q1 2024
TXN123,2024-01-08,SKU-1003,Data Analytics Module,3,5000,15000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q1 2024
TXN124,2024-01-11,SKU-1004,Implementation Services,11,500,5500,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q1 2024
TXN125,2024-01-14,SKU-1005,Training Enablement,4,800,3200,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q1 2024
TXN126,2024-01-17,SKU-1001,Cloud License Annual,8,2000,16000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q1 2024
TXN127,2024-01-20,SKU-1002,Support Package Premium,3,1500,4500,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q1 2024
TXN128,2024-01-23,SKU-1003,Data Analytics Module,6,5000,30000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q1 2024
TXN129,2024-01-26,SKU-1004,Implementation Services,14,500,7000,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Pending,Q1 2024
TXN130,2024-01-29,SKU-1005,Training Enablement,5,800,4000,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Completed,Q1 2024
TXN131,2024-02-01,SKU-1001,Cloud License Annual,6,2000,12000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q1 2024
TXN132,2024-02-04,SKU-1002,Support Package Premium,7,1500,10500,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q1 2024
TXN133,2024-02-07,SKU-1003,Data Analytics Module,4,5000,20000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q1 2024
TXN134,2024-02-10,SKU-1004,Implementation Services,8,500,4000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q1 2024
TXN135,2024-02-13,SKU-1005,Training Enablement,6,800,4800,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q1 2024
TXN136,2024-02-16,SKU-1001,Cloud License Annual,3,2000,6000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Cancelled,Q1 2024
TXN137,2024-02-19,SKU-1002,Support Package Premium,4,1500,6000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q1 2024
TXN138,2024-02-22,SKU-1003,Data Analytics Module,7,5000,35000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q1 2024
TXN139,2024-02-25,SKU-1004,Implementation Services,17,500,8500,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q1 2024
TXN140,2024-02-28,SKU-1005,Training Enablement,3,800,2400,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q1 2024
TXN141,2024-03-02,SKU-1001,Cloud License Annual,9,2000,18000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q1 2024
TXN142,2024-03-05,SKU-1002,Support Package Premium,5,1500,7500,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q1 2024
TXN143,2024-03-08,SKU-1003,Data Analytics Module,2,5000,10000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q1 2024
TXN144,2024-03-11,SKU-1004,Implementation Services,19,500,9500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Completed,Q1 2024
TXN145,2024-03-14,SKU-1005,Training Enablement,7,800,5600,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Pending,Q1 2024
TXN146,2024-03-17,SKU-1001,Cloud License Annual,5,2000,10000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q1 2024
TXN147,2024-03-20,SKU-1002,Support Package Premium,6,1500,9000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q1 2024
TXN148,2024-03-23,SKU-1003,Data Analytics Module,5,5000,25000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q1 2024
TXN149,2024-03-26,SKU-1004,Implementation Services,12,500,6000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q1 2024
TXN150,2024-03-29,SKU-1005,Training Enablement,8,800,6400,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q1 2024
TXN151,2023-04-02,SKU-1001,Cloud License Annual,4,2000,8000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN152,2023-04-05,SKU-1003,Data Analytics Module,3,5000,15000,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,ACH,Completed,Q2 2023
TXN153,2023-04-08,SKU-1002,Support Package Premium,5,1500,7500,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,CC,Completed,Q2 2023
TXN154,2023-04-11,SKU-1004,Implementation Services,7,500,3500,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,ACH,Completed,Q2 2023
TXN155,2023-04-14,SKU-1005,Training Enablement,4,800,3200,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,CC,Completed,Q2 2023
TXN156,2023-04-17,SKU-1001,Cloud License Annual,6,2000,12000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,Wire,Completed,Q2 2023
TXN157,2023-04-20,SKU-1002,Support Package Premium,2,1500,3000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,ACH,Pending,Q2 2023
TXN158,2023-04-23,SKU-1003,Data Analytics Module,4,5000,20000,CUST-101,Acme Corp,Technology,Northeast,John Smith,CC,Completed,Q2 2023
TXN159,2023-04-26,SKU-1004,Implementation Services,16,500,8000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,ACH,Completed,Q2 2023
TXN160,2023-04-29,SKU-1005,Training Enablement,5,800,4000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q2 2023
TXN161,2023-05-02,SKU-1001,Cloud License Annual,8,2000,16000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q2 2023
TXN162,2023-05-05,SKU-1002,Support Package Premium,6,1500,9000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN163,2023-05-08,SKU-1003,Data Analytics Module,2,5000,10000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,ACH,Cancelled,Q2 2023
TXN164,2023-05-11,SKU-1004,Implementation Services,9,500,4500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,CC,Completed,Q2 2023
TXN165,2023-05-14,SKU-1005,Training Enablement,7,800,5600,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q2 2023
TXN166,2023-05-17,SKU-1001,Cloud License Annual,5,2000,10000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,CC,Completed,Q2 2023
TXN167,2023-05-20,SKU-1002,Support Package Premium,4,1500,6000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,Wire,Completed,Q2 2023
TXN168,2023-05-23,SKU-1003,Data Analytics Module,6,5000,30000,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,ACH,Completed,Q2 2023
TXN169,2023-05-26,SKU-1004,Implementation Services,14,500,7000,CUST-101,Acme Corp,Technology,Northeast,John Smith,CC,Completed,Q2 2023
TXN170,2023-05-29,SKU-1005,Training Enablement,3,800,2400,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,ACH,Completed,Q2 2023
TXN171,2023-06-01,SKU-1001,Cloud License Annual,7,2000,14000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN172,2023-06-04,SKU-1002,Support Package Premium,3,1500,4500,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,ACH,Completed,Q2 2023
TXN173,2023-06-07,SKU-1003,Data Analytics Module,5,5000,25000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,CC,Completed,Q2 2023
